Date,Actual,Forecast
2022-09-19,309.07000732421875,342.27623089831775
2022-09-20,308.7300109863281,342.9755516914696
2022-09-21,300.79998779296875,343.1334000496239
2022-09-22,288.5899963378906,341.943190660891
2022-09-23,275.3299865722656,341.2094269661278
2022-09-26,276.010009765625,339.68075808566516
2022-09-27,282.94000244140625,339.16859683078235
2022-09-28,287.8099975585937,338.67152413409656
2022-09-29,268.2099914550781,339.4893990425438
2022-09-30,265.25,339.88477667849963
2022-10-03,242.3999938964844,338.2787938980431
2022-10-04,249.44000244140625,337.8259859947533
2022-10-05,240.8099975585937,336.7483151821465
2022-10-06,238.1300048828125,336.968524065432
2022-10-07,223.07000732421875,336.75163754504626
2022-10-10,222.9600067138672,336.2102893261284
2022-10-11,216.5,336.93076952975696
2022-10-12,217.2400054931641,338.5465222267479
