Date,Actual,Forecast
2022-09-19,309.07000732421875,374.68668163199925
2022-09-20,308.7300109863281,373.3447738207103
2022-09-21,300.79998779296875,376.38598656327645
2022-09-22,288.5899963378906,374.55537178949936
2022-09-23,275.3299865722656,374.17523954278204
2022-09-26,276.010009765625,372.2374027331398
2022-09-27,282.94000244140625,373.42145384519733
2022-09-28,287.8099975585937,374.00401979597257
2022-09-29,268.2099914550781,376.9237630620697
2022-09-30,265.25,377.1332780263147
2022-10-03,242.3999938964844,376.1719207442834
2022-10-04,249.44000244140625,373.9366302436354
2022-10-05,240.8099975585937,373.70675628107387
2022-10-06,238.1300048828125,370.96749188012416
2022-10-07,223.07000732421875,373.78084344416953
2022-10-10,222.9600067138672,371.25593512155945
2022-10-11,216.5,372.0540603487236
2022-10-12,217.2400054931641,370.77838556225686
